分類排序,原始排序,主分類,子分類,publisher,name,url,具體用途（中文）,API/服務型態,典型輸入,典型輸出,落地操作步驟,建議串接位置,POC檢核,nimType,原始 Use Case,general,description
31,43,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,moonshotai,kimi-k2-thinking,https://build.nvidia.com/moonshotai/kimi-k2-thinking,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Free Endpoint,(未標示),Conversational; Reasoning; Long Context; Function Calling,"Open reasoning model with 256K context window, native INT4 quantization and enhanced tool use."
32,95,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,nvidia,llama-3.1-nemotron-nano-8b-v1,https://build.nvidia.com/nvidia/llama-3_1-nemotron-nano-8b-v1,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),math; advanced reasoning; instruction following; function calling,Leading reasoning and agentic AI accuracy model for PC and edge.
33,94,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,nvidia,llama-3.3-nemotron-super-49b-v1,https://build.nvidia.com/nvidia/llama-3_3-nemotron-super-49b-v1,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),math; advanced reasoning; instruction following; function calling,"High efficiency model with leading accuracy for reasoning, tool calling, chat, and instruction following."
34,69,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,nvidia,llama-3.3-nemotron-super-49b-v1.5,https://build.nvidia.com/nvidia/llama-3_3-nemotron-super-49b-v1_5,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),math; advanced reasoning; instruction following; function calling,"High efficiency model with leading accuracy for reasoning, tool calling, chat, and instruction following."
35,132,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,nvidia,nemotron-mini-4b-instruct,https://build.nvidia.com/nvidia/nemotron-mini-4b-instruct,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,(未標示),Chat; Text-to-Text; Language Generation,"Optimized SLM for on-device inference and fine-tuned for roleplay, RAG and function calling"
36,62,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,nvidia,nvidia-nemotron-nano-9b-v2,https://build.nvidia.com/nvidia/nvidia-nemotron-nano-9b-v2,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),thinking budget; reasoning,"High‑efficiency LLM with hybrid Transformer‑Mamba design, excelling in reasoning and agentic tasks."
37,67,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,openai,gpt-oss-120b,https://build.nvidia.com/openai/gpt-oss-120b,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),reasoning; text-to-text; chat; math,Mixture of Experts (MoE) reasoning LLM (text-only) designed to fit within 80GB GPU.
38,66,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,openai,gpt-oss-20b,https://build.nvidia.com/openai/gpt-oss-20b,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available; Partner Endpoint,(未標示),reasoning; text-to-text; chat; math,Smaller Mixture of Experts (MoE) text-only LLM for efficient AI reasoning and math
39,54,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,qwen,qwen3-next-80b-a3b-instruct,https://build.nvidia.com/qwen/qwen3-next-80b-a3b-instruct,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),text-generation; agentic,"Qwen3-Next Instruct blends hybrid attention, sparse MoE, and stability boosts for ultra-long context AI."
40,55,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,qwen,qwen3-next-80b-a3b-thinking,https://build.nvidia.com/qwen/qwen3-next-80b-a3b-thinking,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,(未標示),Reasoning; Text-to-Text,"80B parameter AI model with hybrid reasoning, MoE architecture, support for 119 languages."
41,146,LLM / Agent / 程式碼,通用推理 / 工具呼叫 Agent,upstage,solar-10.7b-instruct,https://build.nvidia.com/upstage/solar-10_7b-instruct,做通用文字生成、推理、工具呼叫、長文件理解與多步驟 agent 工作流，用於客服、研究、摘要、規劃與企業助理。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 定義 agent 任務與工具邊界。2. 設計 prompt、工具 schema、記憶/上下文策略。3. 呼叫模型做規劃/工具選擇/回答。4. 對工具結果二次驗證。5. 上線前加 guardrail、logging、人工接管。,企業助理、研究助理、客服 agent、工作流自動化,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,(未標示),Non-Commercial Use Only; chat; Text-to-Text; Language Generation; Large Language Models,"Excels in NLP tasks, particularly in instruction-following, reasoning, and mathematics."
42,53,LLM / Agent / 程式碼,多語/主權語言 LLM,stockmark,stockmark-2-100b-instruct,https://build.nvidia.com/stockmark/stockmark-2-100b-instruct,理解日文企業文件與複雜商務內容，適合在地化知識助理、文件分析與企業搜尋。,Chat / Responses 類 API,system prompt、user prompt、上下文文件、工具定義或程式碼片段,文字回答、程式碼 diff、工具呼叫參數、推理/摘要結果,1. 收集目標語言文件與常見問題。2. 建立摘要/問答/分類 prompt。3. 接入企業文件搜尋或 RAG。4. 用在地語言測試集驗證回答品質。5. 導入客服或知識助理。,企業知識助理、客服、文件分析平台,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),sovereign ai; japanese; stockmark; large language model,Japanese-specialized large-language-model for enterprises to read and understand complex business documents.
43,147,RAG 與檢索,文字 Embedding,baai,bge-m3,https://build.nvidia.com/baai/bge-m3,把文字或文件轉成向量，建立語意搜尋、RAG 知識庫、相似度比對與跨語言檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Text-to-Embedding; Retrieval Augmented Generation,Embeddings; Retrieval Augmented Generation,"Embedding model for text retrieval tasks, excelling in dense, multi-vector, and sparse retrieval."
44,115,RAG 與檢索,文字 Embedding,nvidia,llama-3.2-nv-embedqa-1b-v2,https://build.nvidia.com/nvidia/llama-3_2-nv-embedqa-1b-v2,把文字或文件轉成向量，建立語意搜尋、RAG 知識庫、相似度比對與跨語言檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Text-to-Embedding; Retrieval Augmented Generation,nemo retriever; embedding,Multilingual and cross-lingual text question-answering retrieval with long context support and optimized data storage efficiency.
45,71,RAG 與檢索,文字 Embedding,nvidia,llama-3_2-nemoretriever-300m-embed-v1,https://build.nvidia.com/nvidia/llama-3_2-nemoretriever-300m-embed-v1,把文字或文件轉成向量，建立語意搜尋、RAG 知識庫、相似度比對與跨語言檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Text-to-Embedding; Retrieval Augmented Generation,NeMo Retriever,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages."
46,52,RAG 與檢索,文字 Embedding,nvidia,llama-3_2-nemoretriever-300m-embed-v2,https://build.nvidia.com/nvidia/llama-3_2-nemoretriever-300m-embed-v2,把文字或文件轉成向量，建立語意搜尋、RAG 知識庫、相似度比對與跨語言檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Text-to-Embedding; Retrieval Augmented Generation,NeMo Retriever,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages."
47,30,RAG 與檢索,文字 Embedding,nvidia,llama-nemotron-embed-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-embed-1b-v2,把文字或文件轉成向量，建立語意搜尋、RAG 知識庫、相似度比對與跨語言檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Text-to-Embedding; Retrieval Augmented Generation,NeMo Retriever,"Multilingual, cross-lingual embedding model for long-document QA retrieval, supporting 26 languages."
48,145,RAG 與檢索,文字 Embedding,nvidia,nv-embed-v1,https://build.nvidia.com/nvidia/nv-embed-v1,把文字或文件轉成向量，建立語意搜尋、RAG 知識庫、相似度比對與跨語言檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Text-to-Embedding; Retrieval Augmented Generation,Non-Commercial Use Only,Generates high-quality numerical embeddings from text inputs.
49,142,RAG 與檢索,文字 Embedding,nvidia,nv-embedqa-e5-v5,https://build.nvidia.com/nvidia/nv-embedqa-e5-v5,把文字或文件轉成向量，建立語意搜尋、RAG 知識庫、相似度比對與跨語言檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Text-to-Embedding; Retrieval Augmented Generation,Embedding; run-on-rtx; Nemo retriever,English text embedding model for question-answering retrieval.
50,35,RAG 與檢索,多模態 Embedding,nvidia,llama-nemotron-embed-vl-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-embed-vl-1b-v2,把圖片與文字映射到同一語意空間，支援跨模態搜尋與圖片/文字檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Text-to-Embedding; Retrieval Augmented Generation,nemo retriever; embedding,Multimodal question-answer retrieval representing user queries as text and documents as images.
51,144,RAG 與檢索,多模態 Embedding,nvidia,nvclip,https://build.nvidia.com/nvidia/nvclip,把圖片與文字映射到同一語意空間，支援跨模態搜尋與圖片/文字檢索。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),Computer vision; multimodal embeddings; text and image; Run-on-rtx,NV-CLIP is a multimodal embeddings model for image and text.
52,97,RAG 與檢索,程式碼檢索 Embedding,nvidia,nv-embedcode-7b-v1,https://build.nvidia.com/nvidia/nv-embedcode-7b-v1,把程式碼與文字查詢轉成向量，支援 code search、相似程式片段搜尋與工程知識庫。,Embedding API,文件段落、查詢文字、程式碼片段，或圖像/文字多模態資料,向量 embedding,1. 清理並切分文件。2. 呼叫 embedding 模型產生向量。3. 寫入 vector DB。4. 查詢時把問題也轉向量。5. 取回 top-k 文件給 LLM 生成答案。,企業搜尋、知識庫問答、客服 RAG、code search,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Retrieval Augmented Generation,nemo retriever; Embedding,"The NV-EmbedCode model is a 7B Mistral-based embedding model optimized for code retrieval, supporting text, code, and hybrid queries."
53,79,RAG 與檢索,Reranker / 重排序,nvidia,llama-3.2-nemoretriever-500m-rerank-v2,https://build.nvidia.com/nvidia/llama-3_2-nemoretriever-500m-rerank-v2,替 RAG 搜尋結果重新排序，判斷段落是否能回答問題，提高企業知識庫問答準確率。,Rerank API,使用者 query + 候選 passages/documents 清單,每個 passage 的 relevance score / 排序結果,1. 先用 BM25/向量搜尋取回 top-k。2. 呼叫 reranker 對候選段落評分。3. 取前 n 段交給 LLM。4. 回答時保留來源引用。5. 追蹤命中率與人工回饋。,RAG 第二階段排序、搜尋結果精排、客服知識庫,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Retrieval Augmented Generation,nemo retriever; reranking,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.
54,116,RAG 與檢索,Reranker / 重排序,nvidia,llama-3.2-nv-rerankqa-1b-v2,https://build.nvidia.com/nvidia/llama-3_2-nv-rerankqa-1b-v2,替 RAG 搜尋結果重新排序，判斷段落是否能回答問題，提高企業知識庫問答準確率。,Rerank API,使用者 query + 候選 passages/documents 清單,每個 passage 的 relevance score / 排序結果,1. 先用 BM25/向量搜尋取回 top-k。2. 呼叫 reranker 對候選段落評分。3. 取前 n 段交給 LLM。4. 回答時保留來源引用。5. 追蹤命中率與人工回饋。,RAG 第二階段排序、搜尋結果精排、客服知識庫,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Retrieval Augmented Generation,nemo retriever; reranking,"Fine-tuned reranking model for multilingual, cross-lingual text question-answering retrieval, with long context support."
55,25,RAG 與檢索,Reranker / 重排序,nvidia,llama-nemotron-rerank-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-rerank-1b-v2,替 RAG 搜尋結果重新排序，判斷段落是否能回答問題，提高企業知識庫問答準確率。,Rerank API,使用者 query + 候選 passages/documents 清單,每個 passage 的 relevance score / 排序結果,1. 先用 BM25/向量搜尋取回 top-k。2. 呼叫 reranker 對候選段落評分。3. 取前 n 段交給 LLM。4. 回答時保留來源引用。5. 追蹤命中率與人工回饋。,RAG 第二階段排序、搜尋結果精排、客服知識庫,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Retrieval Augmented Generation,nemo retriever; reranking,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.
56,18,RAG 與檢索,Reranker / 重排序,nvidia,llama-nemotron-rerank-vl-1b-v2,https://build.nvidia.com/nvidia/llama-nemotron-rerank-vl-1b-v2,替 RAG 搜尋結果重新排序，判斷段落是否能回答問題，提高企業知識庫問答準確率。,Rerank API,使用者 query + 候選 passages/documents 清單,每個 passage 的 relevance score / 排序結果,1. 先用 BM25/向量搜尋取回 top-k。2. 呼叫 reranker 對候選段落評分。3. 取前 n 段交給 LLM。4. 回答時保留來源引用。5. 追蹤命中率與人工回饋。,RAG 第二階段排序、搜尋結果精排、客服知識庫,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Partner Endpoint; Download Available,Retrieval Augmented Generation,nemo retriever; reranking,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.
57,151,RAG 與檢索,Reranker / 重排序,nvidia,rerank-qa-mistral-4b,https://build.nvidia.com/nvidia/rerank-qa-mistral-4b,替 RAG 搜尋結果重新排序，判斷段落是否能回答問題，提高企業知識庫問答準確率。,Rerank API,使用者 query + 候選 passages/documents 清單,每個 passage 的 relevance score / 排序結果,1. 先用 BM25/向量搜尋取回 top-k。2. 呼叫 reranker 對候選段落評分。3. 取前 n 段交給 LLM。4. 回答時保留來源引用。5. 追蹤命中率與人工回饋。,RAG 第二階段排序、搜尋結果精排、客服知識庫,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Free Endpoint,Retrieval Augmented Generation,Ranking; Retrieval Augmented Generation,GPU-accelerated model optimized for providing a probability score that a given passage contains the information to answer a question.
58,120,文件理解與資料擷取,OCR / 文件解析,baidu,paddleocr,https://build.nvidia.com/baidu/paddleocr,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),Optical Character Recognition; Table Extraction; Optical Character Detection; nemo retriever; data ingestion; run-on-rtx,"Model for table extraction that receives an image as input, runs OCR on the image, and returns the text within the image and its bounding boxes."
59,72,文件理解與資料擷取,OCR / 文件解析,nvidia,nemoretriever-ocr,https://build.nvidia.com/nvidia/nemoretriever-ocr,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis."
60,65,文件理解與資料擷取,OCR / 文件解析,nvidia,nemoretriever-ocr-v1,https://build.nvidia.com/nvidia/nemoretriever-ocr-v1,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis."
61,104,文件理解與資料擷取,OCR / 文件解析,nvidia,nemoretriever-parse,https://build.nvidia.com/nvidia/nemoretriever-parse,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),optical character recognition; nemo retriever; data ingestion; table extraction; supported language - english,Cutting-edge vision-language model exceling in retrieving text and metadata from images.
62,23,文件理解與資料擷取,OCR / 文件解析,nvidia,nemotron-ocr-v1,https://build.nvidia.com/nvidia/nemotron-ocr-v1,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,Optical Character Recognition,Table Extraction; nemo retriever; data ingestion; extraction,"Powerful OCR model for fast, accurate real-world image text extraction, layout, and structure analysis."
63,47,文件理解與資料擷取,OCR / 文件解析,nvidia,nemotron-parse,https://build.nvidia.com/nvidia/nemotron-parse,從掃描文件、圖片或頁面擷取文字、表格、版面與中繼資料，適合文件理解與 RAG 前處理。,Vision / Document Extraction API,PDF 頁面截圖、掃描圖、表格圖片、文件影像,文字、表格、bbox、版面元素、圖表/標題偵測結果,1. 將 PDF 轉成頁面圖片或直接上傳圖片。2. 呼叫 OCR/parse 模型抽文字、表格與版面。3. 將結果正規化成 Markdown/JSON。4. 切段後送入 RAG。5. 對表格與關鍵欄位做抽樣校驗。,文件 ingestion pipeline、PDF RAG、財報/合約/報表解析,先用 20-50 筆代表資料測 latency、準確率與成本，再決定雲端端點或自部署。,Download Available,(未標示),text and table extraction; document parsing; supported language - english,Cutting-edge vision-language model exceling in retrieving text and metadata from images.
